,Spot,Um,Cm
0,ETHBTC,ONEUSDT,BTCUSD_PERP
1,LTCBTC,ARUSDT,BTCUSD_230929
2,BNBBTC,GTCUSDT,BTCUSD_231229
3,NEOBTC,BATUSDT,ETHUSD_PERP
4,QTUMETH,PHBUSDT,ETHUSD_230929
5,EOSETH,COCOSUSDT,ETHUSD_231229
6,SNTETH,ETCUSDT,LINKUSD_PERP
7,BNTETH,SRMUSDT,BNBUSD_PERP
8,BCCBTC,HBARUSDT,TRXUSD_PERP
9,GASBTC,CHZUSDT,DOTUSD_PERP
10,BNBETH,XRPBUSD,ADAUSD_PERP
11,BTCUSDT,VETUSDT,EOSUSD_PERP
12,ETHUSDT,DOGEUSDT,LTCUSD_PERP
13,HSRBTC,RVNUSDT,BCHUSD_PERP
14,OAXETH,OGNUSDT,XRPUSD_PERP
15,DNTETH,CTSIUSDT,ETCUSD_PERP
16,MCOETH,ENSUSDT,FILUSD_PERP
17,ICNETH,APEBUSD,EGLDUSD_PERP
18,MCOBTC,GMTBUSD,DOGEUSD_PERP
19,WTCBTC,SXPUSDT,UNIUSD_PERP
20,WTCETH,RDNTUSDT,THETAUSD_PERP
21,LRCBTC,OPUSDT,XLMUSD_PERP
22,LRCETH,ATOMUSDT,SOLUSD_PERP
23,QTUMBTC,XVGUSDT,FTMUSD_PERP
24,YOYOBTC,ADAUSDT,SANDUSD_PERP
25,OMGBTC,ONTUSDT,MANAUSD_PERP
26,OMGETH,DYDXUSDT,AVAXUSD_PERP
27,ZRXBTC,TRXBUSD,GALAUSD_PERP
28,ZRXETH,1000LUNCUSDT,MATICUSD_PERP
29,STRATBTC,NMRUSDT,NEARUSD_PERP
30,STRATETH,BTCSTUSDT,ATOMUSD_PERP
31,SNGLSBTC,BNBBUSD,AAVEUSD_PERP
32,SNGLSETH,ETHBTC,AXSUSD_PERP
33,BQXBTC,SSVUSDT,ROSEUSD_PERP
34,BQXETH,AMBUSDT,XTZUSD_PERP
35,KNCBTC,SUSHIUSDT,ICXUSD_PERP
36,KNCETH,CHRUSDT,ALGOUSD_PERP
37,FUNBTC,SOLBUSD,RUNEUSD_PERP
38,FUNETH,SPELLUSDT,APEUSD_PERP
39,SNMBTC,ETHBUSD,VETUSD_PERP
